id,label,label_id,text,raw_text,n_words,n_chars
0,No,0,>>> [1]Contact Me Now to Make $100 Today!$LINK,>>> [1]Contact Me Now to Make $100 Today!$LINK,8,46
2,No,0,Choose between $500 and $10000 dollars with up to 5 years to repay!,Choose between $500 and $10000 dollars with up to 5 years to repay!,13,67
3,No,0,Click above to earn today.,Click above to earn today.,5,26
4,No,0,Click here to receive your first $10 today:,Click here to receive your first $10 today:,8,43
7,No,0,Confirm now and view your first great opportunity,Confirm now and view your first great opportunity,8,49
8,No,0,Copy and paste this link into your browser to see your results now.,Copy and paste this link into your browser to see your results now.,13,67
10,No,0,Go Here Now For Direct Access,Go Here Now For Direct Access,6,29
11,No,0,Go Here Now For More Information,Go Here Now For More Information,6,32
12,No,0,"If you do not have Adobe Acrobat Reader, please click below and follow instructions for free download: $LINK","If you do not have Adobe Acrobat Reader, please click below and follow instructions for free download: http://tr.innovyx.com/redir.asp?148_46_2788",18,108
15,No,0,"If you see nothing or a banner below please click here Notice:You are receiving this email because your email address was used to receive an on-line price quote, or because it was provided with a vehicle request.","If you see nothing or a banner below please click here <http://www.bzprod.tv/mail/View.jsp?buzzmailId=186&mailId=an9_28_01> Notice:You are receiving this email because your email address was used to receive an on-line price quote, or because it was provided with a vehicle request.",37,212
16,No,0,If you see nothing or a banner below please click here .,If you see nothing or a banner below please click here <http://www.bzprod.tv/mail/View.jsp?buzzmailId=186&mailId=an9_28_01>.,12,56
17,No,0,"If you want to see how I got out of debt, click the link below:","If you want to see how I got out of debt, click the link below:",15,63
19,No,0,"In honor of Mother's Day, take advantage of this huge discount.","In honor of Mother's Day, take advantage of this huge discount.",11,63
23,No,0,Keep moving it forward.,Keep moving it forward.,4,23
24,No,0,Open Glyder to get your feedback template - it's FREE for one week only!,Open Glyder to get your feedback template - it's FREE for one week only!,14,72
25,No,0,"Or mail Work Now America at... 519 Somerville Avenue Suite 323, Somerville, MA 02143.","Or mail Work Now America at... 519 Somerville Avenue Suite 323, Somerville, MA 02143.",14,85
26,No,0,"Over and over again, you tell us how much Plans help you make God's Word a daily part of your life.","Over and over again, you tell us how much Plans help you make God’s Word a daily part of your life.",21,99
27,No,0,Please add $EMAIL to your address book to ensure delivery to your inbox.,Please add events@communications.onekingslane.com to your address book to ensure delivery to your inbox.,13,72
28,No,0,Please add mailto:$EMAIL $EMAIL to your address book.,Please add mailto:jobs@snagajob-email.com jobs@snagajob-email.com to your address book.,8,53
30,No,0,Please add us to your Contacts,Please add us to your Contacts,6,30
31,No,0,Please $EMAIL to your address book to ensure delivery to your inbox.,Please addevents@communications.onekingslane.com to your address book to ensure delivery to your inbox.,12,68
32,No,0,Please go to the link below to register by verifying your email.,Please go to the link below to register by verifying your email.,12,64
33,No,0,Please sign in into the addappt app with your this particular email and the invitation code provided:,Please sign in into the addappt app with your this particular email and the invitation code provided:,17,101
35,No,0,Run heat-generating appliances like ovens and dryers early in the morning or late at night.,Run heat-generating appliances like ovens and dryers early in the morning or late at night.,15,91
