id,label,label_id,text,raw_text,n_words,n_chars
0,No,0,>>> [$NUM]Contact Me Now to Make $$NUM Today!$LINK,>>> [1]Contact Me Now to Make $100 Today!$LINK,8,50
1,No,0,Act now to keep your life on the go!,Act now to keep your life on the go!,9,36
2,No,0,Choose between $$NUM and $$NUM dollars with up to $NUM years to repay!,Choose between $500 and $10000 dollars with up to 5 years to repay!,13,70
3,No,0,Click above to earn today.,Click above to earn today.,5,26
4,No,0,Click here to receive your first $$NUM today:,Click here to receive your first $10 today:,8,45
5,No,0,Click here to start shopping now: $LINK,Click here to start shopping now: $LINK,7,39
6,No,0,"Click here to watch this now, I'm not sure how long he'll leave this up in public:*ï¿$NUM⁄$NUM","Click here to watch this now, I'm not sure how long he'll leave this up in public:*ï¿½",17,94
7,No,0,Confirm now and view your first great opportunity,Confirm now and view your first great opportunity,8,49
8,No,0,Copy and paste this link into your browser to see your results now.,Copy and paste this link into your browser to see your results now.,13,67
9,No,0,Find out how to add clippings to your pressroom in this $NUM seconds video,Find out how to add clippings to your pressroom in this 125 seconds video,14,74
10,No,0,Go Here Now For Direct Access,Go Here Now For Direct Access,6,29
11,No,0,Go Here Now For More Information,Go Here Now For More Information,6,32
12,No,0,"If you do not have Adobe Acrobat Reader, please click below and follow instructions for free download: $LINK","If you do not have Adobe Acrobat Reader, please click below and follow instructions for free download: http://tr.innovyx.com/redir.asp?148_46_2788",18,108
13,No,0,"If you do not want to confirm, simply ignore this message.","If you do not want to confirm, simply ignore this message.",11,58
14,No,0,"If you don't want to change your password, just ignore this message.","If you don't want to change your password, just ignore this message.",12,68
15,No,0,"If you see nothing or a banner below please click here $LINK Notice:You are receiving this email because your email address was used to receive an on-line price quote, or because it was provided with a vehicle request.","If you see nothing or a banner below please click here <http://www.bzprod.tv/mail/View.jsp?buzzmailId=186&mailId=an9_28_01> Notice:You are receiving this email because your email address was used to receive an on-line price quote, or because it was provided with a vehicle request.",38,218
16,No,0,If you see nothing or a banner below please click here $LINK.,If you see nothing or a banner below please click here <http://www.bzprod.tv/mail/View.jsp?buzzmailId=186&mailId=an9_28_01>.,12,61
17,No,0,"If you want to see how I got out of debt, click the link below:","If you want to see how I got out of debt, click the link below:",15,63
18,No,0,"In honor of Memorial Day, take advantage of this special deal.","In honor of Memorial Day, take advantage of this special deal.",11,62
19,No,0,"In honor of Mother's Day, take advantage of this huge discount.","In honor of Mother's Day, take advantage of this huge discount.",11,63
